,asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
0,0000000078,"[1, 1]",5.0,"Conversations with God Book 1 is the single most extraordinary book I have ever read!!!It totally changed my life. I would recommend it to anyone who is seeking emotional and spiritual growth, freedom and empowerment. This book did wonders for my relationship with God, myself and everyone around me. I approach living differently, I enjoy life more.  I have had a copy of this book since it was first published (1997)? and I still turn to it again and again for spiritual enlightenment, upliftment and remembering.I love this book and I love Neale Walsch for his courage in writing it. Unbelievable! A MUST READ!!!","08 11, 2004",A3AF8FFZAZYNE5,,Impactful!,1092182400
1,0000000116,"[5, 5]",4.0,"Interesting Grisham tale of a lawyer that takes millions of dollars from his firm after faking his own death. Grisham usually is able to hook his readers early and ,in this case, doesn't play his hand to soon. The usually reliable Frank Mueller makes this story even an even better bet on Audiobook.","04 27, 2002",AH2L9G3DQHHAJ,chris,Show me the money!,1019865600
2,0000000116,"[0, 0]",1.0,The thumbnail is a shirt.  The product shown is a shoe.  The description is a book.This reviewer is confused.,"03 24, 2014",A2IIIDRK3PRRZY,Helene,Listing is all screwed up,1395619200
3,0000000868,"[10, 10]",4.0,"I'll be honest. I work for a large online retailer named after a South American river, and ordered this because the ASIN (0000000868) is so ... distinctive ... and, frankly, I wondered what the hell a &quot;reader turntable&quot; was, particularly one with both an editor and an illustrator.A friend suggested that the title was really the result of a very poor translation; that &quot;Reader&quot; was supposed to be &quot;Tales&quot;, &quot;Turntable&quot; was supposed to be &quot;Lyrics&quot; and this was really a book entitled &quot;Korea's Favorite Tales and Lyrics&quot;. Oddly enough, there is such a book, apparently edited by Mr. Hyun and illustrated by Mr. Park.Well, as it turns out, &quot;Reader Turntable SE-14&quot; is not a book. It is, well, a reader turntable: a black rectangular piece of 1/2&quot; particleboard, about 13x16 inches, mounted on a bearing so it can rotate easily. It's a lot like a &quot;Lazy Susan&quot;.It's useful for reading rooms, libraries, etc. Place it on table, put a dictionary or other big heavy reference book on it, and now folks sitting on either side of the table can share the reference, simply turning it towards them when they need to look something up.Construction is sturdy. I (175 lbs) stood on it and it rotated: a bit roughly but it didn't collapse. Bearing quality is modest but serviceable. Black matte finish is tasteful.","09 11, 2002",A1TADCM7YWPQ8M,Joel@AWS,Not a Bad Translation,1031702400
4,0000013714,"[0, 0]",4.0,It had all the songs I wanted but I had ordered the large print version and received the regular version. This was the only thing I did not like.,"10 31, 2013",AWGH7V0BDOJKB,Barbara Marshall,Not the large print,1383177600
5,0000013714,"[0, 0]",5.0,"We have many of the old, old issue. But the number had depleted. There were not  enough books to allow us to use them regularly. With the additional supply the books will be used more often.  They arre a good old standby for gospel singing.","07 27, 2013",A3UTQPQPM4TQO0,betty burnett,I was disappointed that you would only allow me to purchase 4 when your inventory showed that you had 14 available.,1374883200
6,0000013714,"[0, 0]",5.0,I love this book. I love hymns and love to sing and run my fingers over piano/organ.This book is helpful.,"03 1, 2014",A8ZS0I5L5V31B,Ephraim O. Nwabuokei,GREAT HYMN BOOK!,1393632000
7,0000013714,"[0, 0]",4.0,"We use this type of hymnal at church.  I was looking for the same one; however, this wasn't it. It is a good hymnal, but there isn't enough information to find the version I need.","12 3, 2013",ACNGUPJ3A3TM9,GCM,Nice Hymnal,1386028800
8,0000013714,"[0, 0]",4.0,Heavenly Highway HymnsI ordered this hymnal because I learned to read shaped note music when I was a teenager. I play piano but do not sing. I am 85 years old. This hymnal has mostof the songs I have learned over the years. It was exactly what I wanted and needed.It was in good condition and the price was right. I purchased this book from Amazon.,"10 16, 2012",A3BED5QFJWK88M,jimedd,Heavenly Highway Hymns,1350345600
9,0000013714,"[2, 3]",5.0,I bought this for my husband who plays the piano.  He is having a wonderful time playing these old hymns.  The music  is at times hard to read because we think the book was published for singing from more than playing from.  Great purchase though!,"09 13, 2009",A2SUAM1J3GNN3B,J. McDonald,Heavenly Highway Hymns,1252800000
10,0000013714,"[0, 0]",5.0,"This is a large size hymn book which is great to be able to see the songs, notes, etc.  Quality was great, item was new!","03 9, 2013",APOZ15IEYQRRR,maewest64,Awesome Hymn Book,1362787200
11,0000013714,"[0, 0]",5.0,"We use this hymn book at the mission.  It has most of the well-loved oldies from a time gone by.  Songs like: ""I'll Fly Away"" and ""Closer Walk With Thee"".  If you like a good singalong, you will really enjoy the ""Heavenly Hiway Hymns.""  Be blessed.","01 2, 2012",AYEDW3BFK53XK,Missb,Hand Clapping Toe Tapping Oldies,1325462400
12,0000013714,"[0, 0]",3.0,"One review advised this book was large print, however it isn't and I had to return it. I'm sure the contents of the hymnal are very nice, just not what I needed.","08 10, 2013",A1KLCGLCXYP1U1,"Paul L ""Paul Lytle""",Misleading,1376092800
13,0000013714,"[3, 3]",5.0,Heavenly Highway Hymns contains great hymns.  These songs are filled with the love for Jesus and of the grace He gives to us.  A blessing in every song.,"09 16, 2011",A37W6POFWIVG13,Prisley,Wonderful Hymn Book,1316131200
14,0000013714,"[2, 2]",4.0,"The hymn selection in this edition is very fine, but the paper quality leaves something to be desired.  For a book in which singers are going to be thumbing through, using the index, turning pages as directed, the paper quality does not look like it will stand up to long term use.","12 28, 2011",A2EIPZNHAEXZHJ,readingfan,Great hymn selection,1325030400
15,0000013714,"[0, 0]",5.0,As a child we sang out of these books. The two books I got are very clean and in very good shape. I  am very happy with mine and my sister likes her too.,"11 13, 2013",A1VAFVJFT58YI3,Sandi Dobbins,Books,1384300800
16,0000013714,"[1, 1]",1.0,This is a very cheaply made product.  I would not pay 1$ for this.  The paper is cheap and flimsy--the book will not even stay open (with fear of ripping the binding) so that I can open up to put on piano stand to play.Don't buy this version.,"01 7, 2013",A9KTKY6BUR8U6,Timothy Royer,Not worth the $$,1357516800
17,0000013714,"[0, 0]",5.0,"COMPILED OF SOME REALLY OLD GOSPELS, BEAUTIFUL LITTLE HARDCOVER BOOK, AND MY MOTHER LOVED THE SET I PURCHASED SEPERATELY ( HEAVENLY HIGHWAY HYMNS + FAVORITE SONGS AND HYMNS) SHE FOUND SONGS IN THEM FROM HER CHILDHOOD, JUST WHAT SHE WANTED!!","01 17, 2013",A2742OG8PK8KU6,TRYINTIMES,WONDERFUL PURCHASE FOR MY MOM @ CHRISTMAS,1358380800
